DEP;P12_HNSCOL15P_DIPL0;P12_FNSCOL15P_DIPL0
02; 1,0; 0,0
02; 4,85915493; 6,802816901
02; 74,603674541; 84,419947507
02; 11,051162791; 10,046511628
02; 10,888888889; 9,074074074
02; 93,0; 123,0
02; 28,147058824; 13,588235294
02; 645,921235909; 771,71981339
02; 14,074468085; 17,090425532
02; 23,0; 31,0
02; 19,0; 15,0
02; 9,149377593; 11,182572614
02; 14,417910448; 9,268656716
02; 24,637681159; 25,623188406
02; 18,745982129; 18,745982129
02; 102,159874608; 137,214733542
02; 6,058823529; 5,049019608
02; 11,822660099; 12,807881773
02; 55,0; 54,0
02; 15,207920792; 5,702970297
02; 2,0; 2,0
02; 19,115151515; 20,121212121
02; 160,0; 261,0
02; 43,0; 44,0
02; 47,612903226; 52,572580645
02; 74,0; 116,0
02; 14,0; 11,0
02; 16,121212121; 15,113636364
02; 7,291666667; 7,291666667
02; 11,801652893; 15,73553719
02; 31,176430268; 28,164028508
02; 23,638190955; 18,713567839
02; 29,0; 28,0
02; 4,0; 2,0
02; 23,0; 26,0
02; 50,0; 50,0
02; 7,965365221; 12,939434556
02; 47,0; 54,0
02; 9,18556701; 8,164948454
02; 84,676395939; 78,699238579
02; 2,0; 2,0
02; 17,0; 11,0
02; 95,670069294; 102,805702945
02; 10,628019324; 10,628019324
02; 22,837264151; 30,780660377
02; 65,148063781; 70,159453303
02; 150,505585833; 136,427956338
02; 13,594202899; 16,507246377
02; 8,064; 4,032
02; 12,0; 14,0
02; 28,932242991; 34,918224299
02; 27,0; 27,0
02; 174,0; 203,0
02; 8,068376068; 14,11965812
02; 15,0; 13,0
02; 4,964028777; 6,949640288
02; 24,555160142; 31,717081851
02; 6,746987952; 5,78313253
02; 6,052631579; 6,052631579
02; 28,553846154; 20,676923077
02; 2,206896552; 3,310344828
02; 8,112676056; 9,126760563
02; 6,109090909; 5,090909091
02; 2,021978022; 6,065934066
02; 24,765957447; 23,734042553
02; 20,259887006; 17,497175141
02; 7,913513514; 16,816216216
02; 28,0; 19,0
02; 42,236007752; 56,626237898
02; 14,114583333; 22,583333333
02; 27,5221843; 26,539249147
02; 71,135238095; 52,099047619
02; 13,0; 13,0
02; 12,512455516; 22,939501779
02; 239,37183035; 287,591143355
02; 31,288819876; 31,288819876
02; 116,0; 128,0
02; 19,600574713; 22,695402299
02; 45,68009206; 53,293440736
02; 355,060281906; 331,274743855
02; 158,308972163; 197,337306074
02; 9,17722952; 3,69958945
02; 71,646933913; 76,844674695
02; 180,990546335; 228,609514323
02; 48,103617387; 36,079756457
02; 173,421270397; 262,483545053
02; 7,0; 10,0
02; 10,573643411; 8,651162791
02; 5,0; 8,0
02; 24,285714286; 30,357142857
02; 418,837242164; 644,547383442
02; 344,123116179; 516,644093661
02; 147,085338581; 323,435836171
02; 64,034120735; 56,804461942
02; 10,289855072; 9,260869565
02; 8,604878049; 18,165853659
02; 2,802919708; 4,671532847
02; 8,0; 7,0
02; 21,806451613; 24,780058651
02; 52,772659733; 51,757800892
02; 16,841121495; 17,831775701
02; 6,0; 14,0
02; 9,948979592; 18,903061224
02; 40,0; 54,0
02; 23,271604938; 19,548148148
02; 89,905647096; 90,016452312
02; 59,65648855; 64,627862595
02; 12,821917808; 17,753424658
02; 31,0; 36,0
